match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
43,"April 25,2025","MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,field,154,10,155.0,5.0,Sunrisers Hyderabad,Wickets,5.0,HV Patel,Ishan Kishan,44,HV Patel,4--28
44,"April 26,2025","Eden Gardens, Kolkata",Punjab Kings,Kolkata Knight Riders,Group,Punjab Kings,bat,201,4,7.0,0.0,No Result,NA,,N,P Simran Singh,83,VG Arora,2--34
45,"April 27,2025","Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bengaluru,Group,Royal Challengers Bengaluru,field,162,8,165.0,4.0,Royal Challengers Bengaluru,Wickets,6.0,KH Pandya,KH Pandya,73,B Kumar,3--33
46,"April 27,2025","Wankhede Stadium, Mumbai",Mumbai Indians,Lucknow Super Giants,Group,Lucknow Super Giants,field,215,7,161.0,10.0,Mumbai Indians,Runs,54.0,WG Jacks,RD Rickelton,58,JJ Bumrah,4--22
47,"April 28,2025","Sawai Mansingh Stadium, Jaipur",Gujarat Titans,Rajasthan Royals,Group,Rajasthan Royals,field,209,4,212.0,2.0,Rajasthan Royals,Wickets,8.0,V Suryavanshi,V Suryavanshi,101,M Theekshana,2--35
48,"April 29,2025","Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Delhi Capitals,Group,Delhi Capitals,field,204,9,190.0,9.0,Kolkata Knight Riders,Runs,14.0,SP Narine,F du Plessis,62,SP Narine,3--29
49,"April 30,2025","MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Group,Punjab Kings,field,190,10,194.0,6.0,Punjab Kings,Wickets,4.0,SS Iyer,SM Curran,88,YS Chahal,4--32
50,"May 1,2025","Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Rajasthan Royals,Group,Rajasthan Royals,field,217,2,117.0,10.0,Mumbai Indians,Runs,100.0,RD Rickelton,RD Rickelton,61,KV Sharma,3--23
51,"May 2,2025","Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,field,224,6,186.0,6.0,Gujarat Titans,Runs,38.0,M Prasidh Krishna,Shubman Gill,76,JD Unadkat,3--35
52,"May 3,2025","M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Group,Chennai Super Kings,field,213,5,211.0,5.0,Royal Challengers Bengaluru,Runs,2.0,R Shepherd,A Mhatre,94,L Ngidi,3--30
53,"May 4,2025","Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Group,Kolkata Knight Riders,bat,206,4,205.0,8.0,Kolkata Knight Riders,Runs,1.0,AD Russell,R Parag,95,CV Varun,2--32
54,"May 4,2025","Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Lucknow Super Giants,Group,Lucknow Super Giants,field,236,5,199.0,7.0,Punjab Kings,Runs,37.0,P Simran Singh,P Simran Singh,91,Arshdeep Singh,3--16
55,"May 5,2025","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,field,133,7,,,No Result,NA,,N,Ashutosh Sharma,41,PJ Cummins,3--19
56,"May 6,2025","Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Group,Gujarat Titans,field,155,8,147.0,7.0,Gujarat Titans,Runs,8.0,Shubman Gill,WG Jacks,53,JJ Bumrah,2--19
57,"May 7,2025","Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Group,Kolkata Knight Riders,bat,179,6,183.0,8.0,Chennai Super Kings,Wickets,2.0,Noor Ahmad,D Brevis,52,Noor Ahmad,4--31
58,"May 8,2025","Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Delhi Capitals,Group,Punjab Kings,bat,122,1,,,No Result,NA,,N,Priyansh Arya,70,T Natarajan,1--4
59,"May 18,2025","Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Group,Gujarat Titans,field,199,3,205.0,0.0,Gujarat Titans,Wickets,10.0,B Sai Sudharsan,KL Rahul,112,Arshad Khan,1--7
60,"May 18,2025","Sawai Mansingh Stadium, Jaipur",Punjab Kings,Rajasthan Royals,Group,Punjab Kings,bat,219,5,209.0,7.0,Punjab Kings,Runs,10.0,Harpreet Brar,N Wadhera,70,Harpreet Brar,3--22
61,"May 19,2025","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,field,205,7,206.0,5.0,Sunrisers Hyderabad,Wickets,5.0,Abhishek Sharma,MR Marsh,65,E Malinga,2--28
62,"May 20,2025","Arun Jaitley Stadium, Delhi",Chennai Super Kings,Rajasthan Royals,Group,Rajasthan Royals,field,187,8,188.0,4.0,Rajasthan Royals,Wickets,6.0,Akash Madhwal,V Suryavanshi,57,Akash Madhwal,3--29
63,"May 21,2025","Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Group,Delhi Capitals,field,180,5,121.0,10.0,Mumbai Indians,Runs,59.0,SA Yadav,SA Yadav,73,MJ Santner,3--11
64,"May 22,2025","Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,Gujarat Titans,Group,Gujarat Titans,field,235,2,202.0,9.0,Lucknow Super Giants,Runs,33.0,MR Marsh,MR Marsh,117,W O'Rourke,3--27
65,"May 23,2025","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Royal Challengers Bengaluru,Group,Royal Challengers Bengaluru,field,231,6,189.0,10.0,Sunrisers Hyderabad,Runs,42.0,Ishan Kishan,Ishan Kishan,94,PJ Cummins,3--28
66,"May 24,2025","Sawai Mansingh Stadium, Jaipur",Punjab Kings,Delhi Capitals,Group,Delhi Capitals,field,206,8,208.0,4.0,Delhi Capitals,Wickets,6.0,Sameer Rizvi,Sameer Rizvi,58,Mustafizur Rahman,3--33
67,"May 25,2025","Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Kolkata Knight Riders,Group,Sunrisers Hyderabad,bat,278,3,168.0,10.0,Sunrisers Hyderabad,Runs,110.0,H Klaasen,H Klaasen,105,JD Unadkat,3--24
68,"May 25,2025","Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Group,Chennai Super Kings,bat,230,5,147.0,10.0,Chennai Super Kings,Runs,83.0,D Brevis,D Brevis,57,A Kamboj,3--13
69,"May 26,2025","Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Punjab Kings,Group,Punjab Kings,field,184,7,187.0,3.0,Punjab Kings,Wickets,7.0,JP Inglis,JP Inglis,73,Arshdeep Singh,2--28
70,"May 27,2025","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bengaluru,Group,Royal Challengers Bengaluru,field,227,3,230.0,4.0,Royal Challengers Bengaluru,Wickets,6.0,JM Sharma,RR Pant,118,W O'Rourke,2--74
71,"May 29,2025","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Punjab Kings,Royal Challengers Bengaluru,Qualifier1,Royal Challengers Bengaluru,field,101,10,106.0,2.0,Royal Challengers Bengaluru,Wickets,8.0,Suyash Sharma,PD Salt,56,Suyash Sharma,3--17
72,"May 30,2025","Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Mumbai Indians,Gujarat Titans,Eliminator,Mumbai Indians,bat,228,5,208.0,6.0,Mumbai Indians,Runs,20.0,RG Sharma,RG Sharma,81,R Sai Kishore,2--42
73,"June 1,2025","Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Punjab Kings,Qualifier2,Punjab Kings,field,203,6,207.0,5.0,Punjab Kings,Wickets,5.0,SS Iyer,SS Iyer,87,Azmatullah Omarzai,2--43
74,"June 3,2025","Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Punjab Kings,Final,Punjab Kings,field,190,9,184.0,7.0,Royal Challengers Bengaluru,Runs,6.0,KH Pandya,Shashank Singh,61,Arshdeep Singh,3--40
